id,name,party,sector,type
UVDL,Ursula von der Leyen,CDU,Politik,2
LK,Lars Klingbeil,SPD,Politik,2
NR,Norbert Röttgen,CDU,Politik,2
SW,Sahra Wagenknecht,Die Linke,Politik,2
CS,Constanze Stelzenmüller,0,Journalismus,1
CL,Christian Lindner,FDP,Politik,2
KS,Karl Schlögel,0,Historiker,1
LM,Ljudmyla Melnyk,0,Wissenschaft,1
KD,Kristina Dunz,0,Journalismus,1
EL,Egils Levits,0,Politik,1
AB,Annalena Baerbock,Die Grünen,Politik,2
FT,Frans Timmermans,0,Politik,1
AM,Andrij Melnyk,0,Politik,1
AGL,Alexander Graf Lambsdorff,FDP,Politik,2
ER,Egon Ramms,0,Military,1
RH,Robert Habeck,Die Grünen,Politik,2
CM,Claudia Major,0,Wissenschaftlerin,1
KP,Katja Petrowskaja,0,Journalismus,1
RK,Roderich Kiesewetter,CDU,Politik,2
CLa,Christine Lambrecht,SPD,Politik,2
SB,Stefanie Babst,0,Politik,1
CH,Christoph Heusgen,0,Politik,1
MW,Marina Weisband,0,Journalismus,1